index,sensor_id,latitude,longitude,sd
66,767610,34.18555,-118.21766,0.4346671820471111
67,773880,34.15367,-118.3484,0.17513988764636523
68,764766,34.13338,-118.3535,0.15269752373769596
69,717497,34.15685,-118.41456,0.18830368512691417
70,717490,34.14745,-118.37124,0.18450802674433195
71,717491,34.14761,-118.3711,0.27591430083971163
72,717492,34.15459,-118.37935,0.23817326004332237
73,717493,34.15434,-118.39618,0.24876474227320458
74,765176,34.13286,-118.35135,0.12055817710347988
75,717498,34.15571,-118.43273,0.18025402873035284
76,717499,34.15666,-118.44808,0.21617050689215483
77,765171,34.16789,-118.46896,0.1837623635006674
78,718064,34.11296,-118.24489,0.13188189983183657
79,718066,34.12302,-118.22889,0.12186330364993442
80,765164,34.07898,-118.28911,0.29249691506221487
81,769431,34.15843,-118.45664,0.20367653992941626
82,769430,34.15818,-118.45658,0.17951993727328336
83,717610,34.17886,-118.39497,0.17582357842237759
84,767053,34.17091,-118.46775,0.19731781456151412
85,767621,34.13486,-118.22969,0.1409197635960842
86,772596,34.17126,-118.50495,0.20033984298499005
87,772597,34.17109,-118.50495,0.15337980003038149
88,767350,34.18011,-118.47045,0.1732054938464358
89,767351,34.18022,-118.47022,0.17785986400342368
90,716571,34.2,-118.40337,0.15634323471094924
91,773023,34.05773,-118.24348,0.1660369055897519
92,767585,34.16556,-118.22432,0.1329871635791311
93,773024,34.05759,-118.24357,0.15546892519553893
94,717483,34.11684,-118.33698,0.13097341331749968
95,718379,34.14224,-118.27812,0.20624816711470464
96,717481,34.10634,-118.32826,0.036615253481015485
97,717480,34.10478,-118.32497,0.14599428615191648
98,717486,34.12974,-118.34809,0.2033302730730143
99,764120,34.20164,-118.40366,0.16539368371523158
100,772151,34.16928,-118.49872,0.17634456942912224
101,718371,34.09017,-118.23849,0.11439556180845277
102,717489,34.13876,-118.36438,0.15878688463227358
103,717488,34.13561,-118.36006,0.17020409646256018
104,717818,34.1722,-118.46753,0.1925120201768773
105,718076,34.16339,-118.2253,1.6056000412886011
106,718072,34.1491,-118.2257,0.0
107,767455,34.14347,-118.22704,0.09995024570299697
108,767454,34.14352,-118.22733,0.13581919666326658
109,761599,34.14226,-118.27786,0.1545818661207493
110,717099,34.15648,-118.24674,0.22912292584813543
111,773916,34.15247,-118.2852,0.1794739821141265
112,716968,34.16588,-118.29809,0.1915962565618087
113,769467,34.15451,-118.39699,0.1614976784966142
114,717576,34.15559,-118.2957,0.28098808148739196
115,717573,34.15384,-118.325,0.1660263856483339
116,717572,34.15351,-118.32751,0.22396009013931417
117,717571,34.15326,-118.35921,0.15232608369976622
118,717570,34.15302,-118.35921,0.16613494074584648
119,764760,34.13401,-118.35506,0.29200915075982814
120,718089,34.12769,-118.27372,0.1544930781610372
121,769847,34.20983,-118.22351,0.28679927535352967
122,717608,34.17154,-118.38812,0.17348244201453003
123,767523,34.11439,-118.24209,0.08088757867379985
124,716942,34.0593,-118.21451,0.154965483143572
125,718090,34.14847,-118.27969,0.2784588064567354
126,769867,34.21846,-118.23931,0.4589019235453105
127,717472,34.10045,-118.31601,0.16655192491820744
128,717473,34.10054,-118.31581,0.17469379059094184
129,759591,34.11521,-118.26825,0.13508527600027825
130,764781,34.16037,-118.47012,0.17430254446906537
131,765099,34.16378,-118.47224,0.24316033730144182
132,762329,34.13904,-118.22862,0.1796065413210626
133,716953,34.09458,-118.24279,0.14693319137756464
134,716951,34.08581,-118.23182,0.10724711458538075
135,767509,34.11059,-118.24819,0.164957229546983
136,765182,34.06491,-118.25126,0.13751348677024217
137,769358,34.15679,-118.42222,0.19447279071406579
138,772513,34.06871,-118.23661,0.08044552268121186
139,716958,34.11167,-118.26501,0.20575799256126762
140,718496,34.15403,-118.34232,0.2656774219501566
141,769346,34.15677,-118.40424,0.2024813143200923
142,773904,34.15641,-118.30266,0.16327271618369688
143,718499,34.15469,-118.31253,0.8259828673656133
144,764853,34.06461,-118.25102,0.10955665822201435
145,761003,34.15546,-118.30841,0.11980033296193343
146,717502,34.16521,-118.47484,0.1999091366526558
147,759602,34.12199,-118.27178,0.12297569476507723
148,717504,34.16519,-118.49166,0.19671102214273473
149,763995,34.21979,-118.40931,0.1334341703306454
150,717508,34.17112,-118.51814,0.2204691548297407
151,765265,34.18529,-118.47395,0.24247849009306346
152,773996,34.14511,-118.21587,0.24317625676642735
153,773995,34.14483,-118.21587,0.1825762763271439
154,717469,34.0971,-118.31366,0.15868262841142985
155,717468,34.09699,-118.31381,0.16371086856481637
156,764106,34.17169,-118.38801,0.14370681893307832
157,717465,34.09373,-118.30907,0.1506995314692953
158,764794,34.16028,-118.46808,0.27442995711652507
159,717466,34.09359,-118.30918,0.13111331527836384
160,717461,34.08558,-118.30174,0.13462943281519066
161,717460,34.08571,-118.30161,0.1371177470563522
162,717463,34.09004,-118.3059,0.1513346477531235
163,717462,34.08993,-118.30607,0.05107208131816212
164,769345,34.15655,-118.40441,0.155292914633478
165,716943,34.05987,-118.21492,0.25336143346300244
166,772669,34.07828,-118.22834,1.0686917289585482
167,717582,34.15646,-118.26092,0.2015692886979602
168,717583,34.15627,-118.25506,0.13694236997649067
169,717580,34.1562,-118.26359,0.18822358431456235
170,716949,34.08406,-118.22974,0.22144134476640734
171,717587,34.15402,-118.23893,0.15146799567766198
172,772178,34.16903,-118.49885,0.26790226344457513
173,717585,34.15564,-118.24188,0.17169120080539954
174,716939,34.04301,-118.21724,0.18426476360617244
175,768469,34.13583,-118.35993,0.13454869008146475
176,764101,34.16421,-118.38246,0.16867583861807045
177,767554,34.11966,-118.23143,0.13839228948237267
178,773975,34.14584,-118.22251,0.23420212072430452
179,773974,34.14559,-118.22251,0.20403600798601612
180,717510,34.17128,-118.51976,0.4059489592126116
181,717513,34.17339,-118.5368,0.20683753088043066
182,717825,34.22164,-118.47307,0.16957375051318016
183,767495,34.10377,-118.24992,0.12202121931387731
184,767494,34.10377,-118.24962,0.09965940740587266
185,717821,34.20112,-118.47361,0.2003604783112613
186,717823,34.20264,-118.47326,0.2408714330661614
187,717458,34.08265,-118.29755,0.11890151933988945
188,717459,34.08294,-118.29729,0.1375269750828724
189,769926,34.21356,-118.23113,0.33359260067528557
190,764858,34.1527,-118.3754,0.1813796103893457
191,717450,34.07488,-118.27362,0.15035615848433972
192,717452,34.07502,-118.27356,0.14696850582948978
193,717453,34.07696,-118.28093,0.22053406520719437
194,759772,34.17115,-118.30539,0.254552968723188
195,717456,34.08102,-118.29325,0.1937548207874726
196,771673,34.07787,-118.22871,0.10844995464782373
197,772167,34.16526,-118.47985,0.24538366514369708
198,769372,34.1027,-118.3173,0.14072524513587895
199,774204,34.15397,-118.34172,0.2512543691865344
200,769806,34.19638,-118.18442,0.23003684449943984
201,717590,34.14929,-118.23182,0.26777214830545853
202,717592,34.14604,-118.2243,0.17308120919094624
203,717595,34.14163,-118.1829,0.17995827638931897
204,772168,34.16542,-118.47985,0.49224644318837135
205,718141,34.15133,-118.37456,0.18493011028757086
206,769373,34.10262,-118.31747,0.16450986163083514
